iter	Passed	Remaining
476	635	696
477	636	694
478	637	692
479	637	690
480	638	689
481	639	687
482	640	685
483	641	684
484	642	682
485	643	680
486	644	678
487	645	676
488	645	674
489	646	673
490	647	671
491	648	669
492	649	667
493	649	665
494	650	663
495	651	661
496	652	660
497	652	658
498	653	656
499	654	654
500	656	653
501	657	652
502	658	650
503	659	649
504	660	647
505	661	645
506	662	644
507	663	642
508	664	640
509	664	638
510	665	637
511	666	635
512	667	633
513	668	631
514	669	630
515	670	629
516	672	627
517	673	626
518	673	624
519	674	622
520	675	621
521	676	619
522	677	617
523	678	616
524	679	614
525	680	612
526	681	611
527	682	609
528	683	608
529	685	608
530	688	607
531	689	606
532	691	606
533	693	605
534	696	605
535	699	605
536	700	604
537	702	603
538	704	602
539	705	601
540	707	600
541	709	599
542	712	599
543	714	599
544	716	597
545	717	596
546	719	595
547	721	594
548	722	593
549	725	593
550	727	593
551	729	592
552	730	590
553	732	589
554	734	588
555	735	587
556	737	586
557	742	587
558	742	586
559	744	585
560	746	584
561	748	583
562	750	582
563	751	581
564	755	581
565	757	580
566	760	580
567	761	579
568	763	578
569	764	576
570	767	576
571	770	576
572	771	574
573	772	573
574	774	572
575	775	571
576	777	569
577	778	568
578	780	567
579	783	567
580	785	566
581	786	564
582	787	563
583	789	562
584	790	560
585	792	559
586	793	558
587	795	557
588	798	557
589	800	556
590	802	555
591	803	554
592	805	552
593	806	551
594	810	551
595	813	551
596	815	550
597	816	549
598	817	547
599	819	546
600	822	545
601	825	545
602	828	545
603	831	544
604	832	543
605	833	542
606	835	540
607	836	539
608	838	538
609	841	537
610	842	536
611	845	535
612	846	534
613	848	533
614	849	531
615	850	530
616	853	529
617	855	529
618	857	527
619	858	525
620	859	524
621	860	522
622	860	520
623	861	519
624	862	517
625	863	515
626	864	514
627	865	512
628	867	511
629	868	510
630	869	508
631	870	507
632	871	505
633	873	503
634	873	502
635	875	500
636	875	499
637	877	497
638	878	496
639	879	494
640	880	493
641	881	491
642	883	490
643	884	488
644	885	487
645	886	485
646	887	484
647	888	482
648	890	481
649	891	480
650	892	478
651	893	476
652	894	475
653	895	473
654	897	472
655	898	471
656	899	469
657	900	467
658	901	466
659	902	464
660	903	463
661	904	461
662	905	460
663	906	458
664	907	457
665	908	455
666	909	453
667	910	452
668	911	451
669	912	449
670	913	448
671	914	446
672	915	444
673	916	443
674	917	441
675	918	440
676	919	438
677	920	437
678	921	435
679	922	434
680	923	432
681	924	430
682	925	429
683	926	428
684	927	426
685	928	425
686	930	423
687	931	422
688	932	420
689	933	419
690	933	417
691	934	415
692	935	414
693	936	412
694	936	411
695	937	409
696	938	407
697	939	406
698	941	405
699	942	403
700	943	402
701	944	400
702	945	399
703	945	397
704	946	396
705	947	394
706	948	393
707	949	391
708	950	389
709	950	388
710	951	386
711	952	385
712	953	383
713	954	382
714	955	381
715	956	379
716	957	378
717	958	376
718	959	374
719	960	373
720	960	371
721	961	370
722	962	368
723	963	367
724	964	365
725	964	364
726	965	362
727	966	361
728	967	359
729	968	358
730	969	356
731	970	355
732	971	353
733	972	352
734	973	350
735	973	349
736	975	347
737	976	346
738	976	344
739	977	343
740	978	341
741	979	340
742	979	338
743	980	337
744	981	336
745	982	334
746	983	333
747	984	331
748	985	330
749	986	328
750	987	327
751	988	325
752	989	324
753	989	322
754	990	321
755	991	320
756	992	318
757	993	317
758	994	315
759	996	314
760	997	313
761	999	312
762	1000	310
763	1001	309
764	1002	307
765	1003	306
766	1003	304
767	1004	303
768	1005	302
769	1006	300
770	1007	299
771	1008	297
772	1009	296
773	1010	295
774	1011	293
775	1012	292
776	1014	291
777	1015	289
778	1016	288
779	1017	287
780	1018	285
781	1019	284
782	1020	282
783	1021	281
784	1022	280
785	1023	278
786	1024	277
787	1025	275
788	1027	274
789	1028	273
790	1029	272
791	1030	270
792	1031	269
793	1032	267
794	1033	266
795	1034	265
796	1035	263
797	1036	262
798	1036	260
799	1037	259
800	1038	257
801	1039	256
802	1040	255
803	1041	253
804	1042	252
805	1043	251
806	1044	249
807	1045	248
808	1046	247
809	1047	245
810	1048	244
811	1049	242
812	1049	241
813	1050	240
